OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Youth Services,Faith-based organization,New York City Agency,Nonprofit,City
USIF World Foundation for Medical Studies in Female Health,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Port Washington
Outreach Project,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Richmond Hill
International Women's Writing Guild,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Catholic War Veterans - Department of New York,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,New York
Women's City Club of New York,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
National Council of Young Israel. Young Israel of Forest Hills.,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Forest Hills
NPower NY,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,Brooklyn
Momentum Project,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
United Jewish Organization of Williamsburg,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Wildcat Service Corporation,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
National Organization for Women-New York City,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
New York Women Social Entrepreneurs (NYWSE),Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Women At Risk,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
International Sheet Metal Workers Local Union 28,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Schervier Nursing Care Center,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Riverdale
NYC Office of the Chief Medical Examiner,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,New York
Indochina Sino-American Senior Citizen Center,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,New York
Paralyzed Veterans of America,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,New York
Queens Child Guidance Center Incorporated,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Woodside
Single Parents Project,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
YWCA of Queens,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Flushing
Stepfamily Foundation,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Kips Bay Boys & Girls Club,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
"New Images for the Widowed, Inc.",N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Women's Center for Education and Career Advancement,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
Queensbridge Day Care Center,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Long Island City
NYCHA Women in Government (WiGo),N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
Federally Employed Women (FEW),Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Holtsville
NYC Department of Consumer Affairs,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,New York
New York Cares,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
La Asociacion Benefica Cultural Father Billini,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Corona
Women's Executive Circle of New York,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Women's National Book Association,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
"Young Athletes, Inc.",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
"Urban Youth Alliance International, Inc.",N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
Latin Media and Entertainment Commission,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,New York
MCC Women's Business Committee,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,New York
"U.S. Department of Labor, Women's Bureau, Region II",N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,New York
Metropolitan Council on Housing,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
"Visiting Neighbors, Inc.",N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Graham Windham,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,New York
NYC Center for Economic Opportunity,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,Y,N,New York
Phoenix House - Impact Program,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"NYC Mayor's Office of Film, Theatre and Broadcasting",Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,New York
Russian American Foundation,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Services Now for Adult Persons,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Queens Village
Homeless American Veterans Self-Help Initiative,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,New York
Parker Jewish Institute for Health Care and Rehabilitation,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New Hyde Park
Women's HIV Collaborative of New York,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Junior League of Brooklyn,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
"The Learning Tree Cultural Center, Inc.",N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
Spina Bifida Association of Nassau County,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Sound Beach
Midtown Community Court/Fund for the City of New York,N,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,New York
Where There's A Need Inc,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,"Jamaica, N.Y."
Mayor's Office fo Veterans' Affairs,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,New York
Turning Point for Women and Families,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Flushing
Vietnam Veterans of America,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Glendale
The Transition Network,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
National Urban League,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,New York
Women's World Banking,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,New York
Woodycrest Center For Human Development,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
QHC-Diabetes Center,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Jamaica
NYC Department of Health and Mental Hygiene,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,New York
New York Families for Autistic Children,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Ozone Park
"Riverdale Community Center, Inc.",N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
NonProfit HelpDesk,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Brooklyn
Korean Family Counseling and Research Center,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Flushing
American Ex-Prisoners of War,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Brooklyn
Americans for UNFPA,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Third Wave Foundation,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
"East Harlem Block Nursery, Inc.",N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"NA'AMAT USA, New York Council",N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,New York
New York City Rent Guidelines Board,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,New York
JBI International,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
NYS Coalition Against Domestic Violence,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Albany
New York Society for the Deaf,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Jewish Foundation for Education of Women,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
AAUW Manhattan,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
Committed to Communities,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Brooklyn
Queens Interagency Council on the Aging,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Kew Gardens
Union Settlement Association,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,New York
Lighthouse International,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Learning Disabilities Association of New York City,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Shalom Task Force,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Mayor's Office of Industrial and Manufacturing Business,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,New York
The White House Project,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,NYC
Mount Hope Housing Company,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
Neighborhood Initiatives Development Corporation,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Bronx
USO of Metropolitan New York,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,New York
Women Make Movies,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Fordham University,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
St. Luke's Hospital Women's Health Project,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Sanctuary For Families,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,New York
Copasetic Women Over 50,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,"New York,N.Y."
"Mid Bronx Community Preservation Coalition, Inc.",N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Bronx
Family Justice Centers,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,New York
Visiting Nurse Service of New York,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Women in Islam, Inc.",N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
"Concerned Parents of the Bronx, Inc.",N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Bronx
National League for Nursing,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
Disabled in Action of Metropolitan New York,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,NY
Lower East Side Girls Club,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
"Rockaway Artist Alliance, Inc.",N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Rockaway Park
Shuang Wen Academy Network,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,New York
The Fortune Society,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Long Island City
New York State Coalition Against Domestic Violence,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Albany
Henry Street Settlement Neighborhood Resource Center,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,New York
Reformed Church of Newtown,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Elmhurst
Hope City Empowerment Center,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
The Arab American Family Support Center,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,Brooklyn
Hindu Temple Society of North America (Sri Maha Ganapati Devasthanam),N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Flushing
"Greenwich House, Inc.",Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,New York
Grassroots Organizations Operating Together In Sisterhood Inc.,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Edith and Carl Marks Jewish Community House of Bensonhurst,Y,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,Brooklyn
Highbridge Community Life Center/Bridge Builders/Community Partnership Initivitive,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Bronx
Jamaica Service Program for Older Adults (JSPOA),N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Jamaica
Council of Aid for Central Asian Jews - After school service/Summer Day Camp,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Forest Hills
Adelphi NY Statewide Breast Cancer Hotline & Support Program,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Garden City
New York Legal Assistance Group,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,New York
New York Women in Film and Television,Y,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Brooklyn
New Immigrant Community Empowerment,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,Y,Jackson Heights
"Brooklyn Neighborhood Improvement Association, Inc.",Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
"The Pen and Brush, Inc.",N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
United Jewish Council of the East Side,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,NY
Red Hook Initiative,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Brooklyn
Phipps Community Development Corporation,N,Y,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,Y,New York
"Polonians Organized to Minister to Our Community, Inc. (POMOC)",Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Maspeth
"Riverdale Neighborhood House, Inc.",N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Bronx
Groundswell Community Mural Project,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
SCO Family of Services,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,Glen Cove
"Violence Intervention Program, Inc.",N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,New York
"Northfield Community Local Development Corp. of Staten Islalnd, Inc.",N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Staten Island
Family Development Centers of St. Christopher-Ottilie,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Jackson Heights
Italian American Civil Rights League,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
Center for NuLeadership on Urban Solutions,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,"BROOKLYN,  NEW YORK"
The Children's Aid Society,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,New York
Center for Reproductive Rights,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
CONNECT (LAP),Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,New York
Center Against Domestic Violence,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Brooklyn
International Rescue Committee (NYCREP/IRC),N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,New York
Queens Parent Resource Center,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
Latino Pastoral Action Center,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York City
International High School at LaGuardia Community College,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Long Island City
South Asian Youth Action,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Elmhurst
"Jacob A. Riis Neighborhood Settlement House, Inc.",N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Long Island CIty
Oasis Community Corporation,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Brooklyn
"Chinese Immigrants Services, Inc.",N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Flushing
York College - Adult Continuing Education,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Jamaica
Hamilton-Madison House Sunrise Clubhouse,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Jackson Heights
The New York Society for the Prevention of Cruelty to Children,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,New York
Brooklyn Bureau of Community Service,Y,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Brooklyn
Council of Jewish Organizations of Flatbush (COJO Flatbush),Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,Brooklyn
Global Action Project,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,New York
Workshop in Business Opportunities (WIBO),Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,New York
Eviction Intervention Services,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,New York
Korean Community Services of Metropolitan New York,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Flushing
Shorefront Jewish Community Council,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Brooklyn
National Coalition of 100 Black Women - Manhattan Chapter,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,New York
"Caribbean Women's Health Association, Inc.",Y,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Brooklyn
